
Token Cruncher Benchmark Results:

| ZhiWen File        | Equivalent File      |   ZhiWen Tokens |   Equivalent Tokens | Reduction   |
|--------------------|----------------------|-----------------|---------------------|-------------|
| interagent_0094.zw | interagent_0094.json |            2910 |                4013 | 27.49%      |
| interagent_0082.zw | interagent_0082.json |            2903 |                3999 | 27.41%      |
| interagent_0006.zw | interagent_0006.json |            2896 |                3979 | 27.22%      |
| interagent_0024.zw | interagent_0024.json |            2893 |                3991 | 27.51%      |
| interagent_0042.zw | interagent_0042.json |            2909 |                3993 | 27.15%      |
| interagent_0001.zw | interagent_0001.json |            2898 |                3994 | 27.44%      |
| interagent_0077.zw | interagent_0077.json |            2889 |                4008 | 27.92%      |
| interagent_0041.zw | interagent_0041.json |            2896 |                4034 | 28.21%      |
| interagent_0067.zw | interagent_0067.json |            2902 |                3992 | 27.30%      |
| interagent_0048.zw | interagent_0048.json |            2904 |                4000 | 27.40%      |
| interagent_0047.zw | interagent_0047.json |            2902 |                4002 | 27.49%      |
| interagent_0025.zw | interagent_0025.json |            2885 |                4022 | 28.27%      |
| interagent_0061.zw | interagent_0061.json |            2930 |                3994 | 26.64%      |
| interagent_0029.zw | interagent_0029.json |            2905 |                3985 | 27.10%      |
| interagent_0075.zw | interagent_0075.json |            2888 |                4006 | 27.91%      |
| interagent_0069.zw | interagent_0069.json |            2906 |                4005 | 27.44%      |
| interagent_0034.zw | interagent_0034.json |            2902 |                3988 | 27.23%      |
| interagent_0023.zw | interagent_0023.json |            2893 |                3999 | 27.66%      |
| interagent_0012.zw | interagent_0012.json |            2889 |                4006 | 27.88%      |
| interagent_0073.zw | interagent_0073.json |            2890 |                3989 | 27.55%      |
| interagent_0084.zw | interagent_0084.json |            2895 |                4004 | 27.70%      |
| interagent_0080.zw | interagent_0080.json |            2914 |                3993 | 27.02%      |
| interagent_0011.zw | interagent_0011.json |            2905 |                3998 | 27.34%      |
| interagent_0096.zw | interagent_0096.json |            2897 |                3993 | 27.45%      |
| interagent_0017.zw | interagent_0017.json |            2892 |                3992 | 27.56%      |
| interagent_0052.zw | interagent_0052.json |            2898 |                4001 | 27.57%      |
| interagent_0013.zw | interagent_0013.json |            2901 |                4002 | 27.51%      |
| interagent_0086.zw | interagent_0086.json |            2895 |                4002 | 27.66%      |
| interagent_0045.zw | interagent_0045.json |            2884 |                4007 | 28.03%      |
| interagent_0059.zw | interagent_0059.json |            2886 |                3971 | 27.32%      |
| interagent_0083.zw | interagent_0083.json |            2890 |                4004 | 27.82%      |
| interagent_0055.zw | interagent_0055.json |            2884 |                4012 | 28.12%      |
| interagent_0057.zw | interagent_0057.json |            2897 |                3994 | 27.47%      |
| interagent_0028.zw | interagent_0028.json |            2882 |                4028 | 28.45%      |
| interagent_0060.zw | interagent_0060.json |            2893 |                4009 | 27.84%      |
| interagent_0068.zw | interagent_0068.json |            2893 |                4008 | 27.82%      |
| interagent_0015.zw | interagent_0015.json |            2882 |                3990 | 27.77%      |
| interagent_0031.zw | interagent_0031.json |            2896 |                4009 | 27.76%      |
| interagent_0040.zw | interagent_0040.json |            2893 |                3992 | 27.53%      |
| interagent_0054.zw | interagent_0054.json |            2906 |                4006 | 27.46%      |
| interagent_0046.zw | interagent_0046.json |            2882 |                3996 | 27.88%      |
| interagent_0007.zw | interagent_0007.json |            2904 |                4005 | 27.49%      |
| interagent_0026.zw | interagent_0026.json |            2899 |                3997 | 27.47%      |
| interagent_0032.zw | interagent_0032.json |            2903 |                3999 | 27.41%      |
| interagent_0099.zw | interagent_0099.json |            2908 |                4011 | 27.50%      |
| interagent_0050.zw | interagent_0050.json |            2908 |                4000 | 27.30%      |
| interagent_0030.zw | interagent_0030.json |            2897 |                3982 | 27.25%      |
| interagent_0063.zw | interagent_0063.json |            2894 |                3994 | 27.54%      |
| interagent_0097.zw | interagent_0097.json |            2898 |                3975 | 27.09%      |
| interagent_0093.zw | interagent_0093.json |            2884 |                3999 | 27.88%      |
| interagent_0081.zw | interagent_0081.json |            2896 |                3994 | 27.49%      |
| interagent_0043.zw | interagent_0043.json |            2901 |                4015 | 27.75%      |
| interagent_0074.zw | interagent_0074.json |            2875 |                3993 | 28.00%      |
| interagent_0076.zw | interagent_0076.json |            2906 |                4011 | 27.55%      |
| interagent_0066.zw | interagent_0066.json |            2900 |                3998 | 27.46%      |
| interagent_0049.zw | interagent_0049.json |            2889 |                3997 | 27.72%      |
| interagent_0038.zw | interagent_0038.json |            2905 |                3984 | 27.08%      |
| interagent_0079.zw | interagent_0079.json |            2899 |                3987 | 27.29%      |
| interagent_0014.zw | interagent_0014.json |            2876 |                3990 | 27.92%      |
| interagent_0003.zw | interagent_0003.json |            2907 |                4000 | 27.32%      |
| interagent_0090.zw | interagent_0090.json |            2904 |                4028 | 27.90%      |
| interagent_0035.zw | interagent_0035.json |            2903 |                3983 | 27.12%      |
| interagent_0056.zw | interagent_0056.json |            2911 |                4011 | 27.42%      |
| interagent_0072.zw | interagent_0072.json |            2892 |                4003 | 27.75%      |
| interagent_0000.zw | interagent_0000.json |            2890 |                4017 | 28.06%      |
| interagent_0033.zw | interagent_0033.json |            2882 |                3993 | 27.82%      |
| interagent_0022.zw | interagent_0022.json |            2901 |                4026 | 27.94%      |
| interagent_0021.zw | interagent_0021.json |            2898 |                4015 | 27.82%      |
| interagent_0085.zw | interagent_0085.json |            2906 |                3997 | 27.30%      |
| interagent_0016.zw | interagent_0016.json |            2897 |                4002 | 27.61%      |
| interagent_0091.zw | interagent_0091.json |            2877 |                3992 | 27.93%      |
| interagent_0071.zw | interagent_0071.json |            2920 |                4010 | 27.18%      |
| interagent_0092.zw | interagent_0092.json |            2883 |                3979 | 27.54%      |
| interagent_0019.zw | interagent_0019.json |            2907 |                4008 | 27.47%      |
| interagent_0051.zw | interagent_0051.json |            2888 |                3973 | 27.31%      |
| interagent_0020.zw | interagent_0020.json |            2909 |                3995 | 27.18%      |
| interagent_0078.zw | interagent_0078.json |            2910 |                4000 | 27.25%      |
| interagent_0087.zw | interagent_0087.json |            2897 |                3980 | 27.21%      |
| interagent_0039.zw | interagent_0039.json |            2908 |                4007 | 27.43%      |
| interagent_0058.zw | interagent_0058.json |            2916 |                3991 | 26.94%      |
| interagent_0036.zw | interagent_0036.json |            2894 |                3979 | 27.27%      |
| interagent_0004.zw | interagent_0004.json |            2892 |                4000 | 27.70%      |
| interagent_0010.zw | interagent_0010.json |            2892 |                4013 | 27.93%      |
| interagent_0044.zw | interagent_0044.json |            2890 |                3990 | 27.57%      |
| interagent_0027.zw | interagent_0027.json |            2886 |                4018 | 28.17%      |
| interagent_0070.zw | interagent_0070.json |            2900 |                4010 | 27.68%      |
| interagent_0053.zw | interagent_0053.json |            2911 |                4009 | 27.39%      |
| interagent_0095.zw | interagent_0095.json |            2892 |                3995 | 27.61%      |
| interagent_0088.zw | interagent_0088.json |            2899 |                4005 | 27.62%      |
| interagent_0009.zw | interagent_0009.json |            2886 |                3988 | 27.63%      |
| interagent_0089.zw | interagent_0089.json |            2884 |                3988 | 27.68%      |
| interagent_0064.zw | interagent_0064.json |            2911 |                4005 | 27.32%      |
| interagent_0018.zw | interagent_0018.json |            2887 |                4009 | 27.99%      |
| interagent_0002.zw | interagent_0002.json |            2888 |                4003 | 27.85%      |
| interagent_0005.zw | interagent_0005.json |            2887 |                3995 | 27.73%      |
| interagent_0098.zw | interagent_0098.json |            2895 |                4016 | 27.91%      |
| interagent_0037.zw | interagent_0037.json |            2906 |                4002 | 27.39%      |
| interagent_0065.zw | interagent_0065.json |            2896 |                3994 | 27.49%      |
| interagent_0008.zw | interagent_0008.json |            2921 |                3989 | 26.77%      |
| interagent_0062.zw | interagent_0062.json |            2908 |                3987 | 27.06%      |

Overall Tokens (ZhiWen): 289728
Overall Tokens (Equivalent): 399946
Overall Reduction: 27.56%
