
==================================================
Loading embedding model: paraphrase-multilingual-MiniLM-L12-v2...

Embedding Similarity Benchmark Results (Model: paraphrase-multilingual-MiniLM-L12-v2):

| ZhiWen File   | Equivalent File   |   Cosine Similarity |
|---------------|-------------------|---------------------|
| sim_0669.zw   | sim_0669.json     |              0.6683 |
| sim_0613.zw   | sim_0613.json     |              0.8199 |
| sim_0602.zw   | sim_0602.json     |              0.767  |
| sim_0273.zw   | sim_0273.json     |              0.7199 |
| sim_0330.zw   | sim_0330.json     |              0.7819 |
| sim_0733.zw   | sim_0733.json     |              0.7859 |
| sim_0145.zw   | sim_0145.json     |              0.8005 |
| sim_0659.zw   | sim_0659.json     |              0.7981 |
| sim_0766.zw   | sim_0766.json     |              0.7518 |
| sim_0531.zw   | sim_0531.json     |              0.7875 |
| sim_0811.zw   | sim_0811.json     |              0.7412 |
| sim_0747.zw   | sim_0747.json     |              0.7594 |
| sim_0825.zw   | sim_0825.json     |              0.7994 |
| sim_0901.zw   | sim_0901.json     |              0.8032 |
| sim_0162.zw   | sim_0162.json     |              0.6885 |
| sim_0244.zw   | sim_0244.json     |              0.7984 |
| sim_0180.zw   | sim_0180.json     |              0.7521 |
| sim_0537.zw   | sim_0537.json     |              0.8222 |
| sim_0983.zw   | sim_0983.json     |              0.7803 |
| sim_0025.zw   | sim_0025.json     |              0.8007 |
| sim_0066.zw   | sim_0066.json     |              0.803  |
| sim_0395.zw   | sim_0395.json     |              0.6629 |
| sim_0389.zw   | sim_0389.json     |              0.7724 |
| sim_0594.zw   | sim_0594.json     |              0.7297 |
| sim_0586.zw   | sim_0586.json     |              0.8348 |
| sim_0398.zw   | sim_0398.json     |              0.762  |
| sim_0839.zw   | sim_0839.json     |              0.7473 |
| sim_0194.zw   | sim_0194.json     |              0.7839 |
| sim_0258.zw   | sim_0258.json     |              0.786  |
| sim_0933.zw   | sim_0933.json     |              0.7119 |
| sim_0776.zw   | sim_0776.json     |              0.7633 |
| sim_0557.zw   | sim_0557.json     |              0.8275 |
| sim_0598.zw   | sim_0598.json     |              0.7258 |
| sim_0169.zw   | sim_0169.json     |              0.7538 |
| sim_0241.zw   | sim_0241.json     |              0.7431 |
| sim_0794.zw   | sim_0794.json     |              0.8134 |
| sim_0202.zw   | sim_0202.json     |              0.7487 |
| sim_0843.zw   | sim_0843.json     |              0.8458 |
| sim_0236.zw   | sim_0236.json     |              0.7883 |
| sim_0363.zw   | sim_0363.json     |              0.7785 |
| sim_0335.zw   | sim_0335.json     |              0.6743 |
| sim_0990.zw   | sim_0990.json     |              0.762  |
| sim_0702.zw   | sim_0702.json     |              0.8044 |
| sim_0408.zw   | sim_0408.json     |              0.7628 |
| sim_0595.zw   | sim_0595.json     |              0.74   |
| sim_0354.zw   | sim_0354.json     |              0.8139 |
| sim_0521.zw   | sim_0521.json     |              0.7898 |
| sim_0442.zw   | sim_0442.json     |              0.8048 |
| sim_0914.zw   | sim_0914.json     |              0.7507 |
| sim_0871.zw   | sim_0871.json     |              0.771  |
| sim_0285.zw   | sim_0285.json     |              0.7752 |
| sim_0838.zw   | sim_0838.json     |              0.7997 |
| sim_0541.zw   | sim_0541.json     |              0.7603 |
| sim_0360.zw   | sim_0360.json     |              0.7713 |
| sim_0279.zw   | sim_0279.json     |              0.7571 |
| sim_0637.zw   | sim_0637.json     |              0.7473 |
| sim_0653.zw   | sim_0653.json     |              0.7445 |
| sim_0214.zw   | sim_0214.json     |              0.7964 |
| sim_0448.zw   | sim_0448.json     |              0.7624 |
| sim_0048.zw   | sim_0048.json     |              0.7393 |
| sim_0562.zw   | sim_0562.json     |              0.797  |
| sim_0797.zw   | sim_0797.json     |              0.8106 |
| sim_0592.zw   | sim_0592.json     |              0.7716 |
| sim_0953.zw   | sim_0953.json     |              0.7612 |
| sim_0852.zw   | sim_0852.json     |              0.7687 |
| sim_0342.zw   | sim_0342.json     |              0.796  |
| sim_0684.zw   | sim_0684.json     |              0.832  |
| sim_0560.zw   | sim_0560.json     |              0.7567 |
| sim_0198.zw   | sim_0198.json     |              0.7472 |
| sim_0981.zw   | sim_0981.json     |              0.751  |
