
==================================================
Loading embedding model: sentence-transformers/use-cmlm-multilingual...

Embedding Similarity Benchmark Results (Model: sentence-transformers/use-cmlm-multilingual):

| ZhiWen File   | Equivalent File   |   Cosine Similarity |
|---------------|-------------------|---------------------|
| sim_0669.zw   | sim_0669.json     |              0.8258 |
| sim_0613.zw   | sim_0613.json     |              0.8657 |
| sim_0602.zw   | sim_0602.json     |              0.7431 |
| sim_0273.zw   | sim_0273.json     |              0.8381 |
| sim_0330.zw   | sim_0330.json     |              0.8    |
| sim_0733.zw   | sim_0733.json     |              0.8667 |
| sim_0145.zw   | sim_0145.json     |              0.8487 |
| sim_0659.zw   | sim_0659.json     |              0.796  |
| sim_0766.zw   | sim_0766.json     |              0.8174 |
| sim_0531.zw   | sim_0531.json     |              0.8575 |
| sim_0811.zw   | sim_0811.json     |              0.7629 |
| sim_0747.zw   | sim_0747.json     |              0.8007 |
| sim_0825.zw   | sim_0825.json     |              0.8304 |
| sim_0901.zw   | sim_0901.json     |              0.7588 |
| sim_0162.zw   | sim_0162.json     |              0.85   |
| sim_0244.zw   | sim_0244.json     |              0.8411 |
| sim_0180.zw   | sim_0180.json     |              0.864  |
| sim_0537.zw   | sim_0537.json     |              0.8098 |
| sim_0983.zw   | sim_0983.json     |              0.859  |
| sim_0025.zw   | sim_0025.json     |              0.7606 |
| sim_0066.zw   | sim_0066.json     |              0.8567 |
| sim_0395.zw   | sim_0395.json     |              0.8489 |
| sim_0389.zw   | sim_0389.json     |              0.7522 |
| sim_0594.zw   | sim_0594.json     |              0.8519 |
| sim_0586.zw   | sim_0586.json     |              0.8177 |
| sim_0398.zw   | sim_0398.json     |              0.7719 |
| sim_0839.zw   | sim_0839.json     |              0.8497 |
| sim_0194.zw   | sim_0194.json     |              0.767  |
| sim_0258.zw   | sim_0258.json     |              0.8365 |
| sim_0933.zw   | sim_0933.json     |              0.8154 |
| sim_0776.zw   | sim_0776.json     |              0.8382 |
| sim_0557.zw   | sim_0557.json     |              0.7614 |
| sim_0598.zw   | sim_0598.json     |              0.8153 |
| sim_0169.zw   | sim_0169.json     |              0.8489 |
| sim_0241.zw   | sim_0241.json     |              0.8065 |
| sim_0794.zw   | sim_0794.json     |              0.8459 |
| sim_0202.zw   | sim_0202.json     |              0.8332 |
| sim_0843.zw   | sim_0843.json     |              0.8475 |
| sim_0236.zw   | sim_0236.json     |              0.8425 |
| sim_0363.zw   | sim_0363.json     |              0.8392 |
| sim_0335.zw   | sim_0335.json     |              0.8427 |
| sim_0990.zw   | sim_0990.json     |              0.8576 |
| sim_0702.zw   | sim_0702.json     |              0.8186 |
| sim_0408.zw   | sim_0408.json     |              0.755  |
| sim_0595.zw   | sim_0595.json     |              0.8072 |
| sim_0354.zw   | sim_0354.json     |              0.7526 |
| sim_0521.zw   | sim_0521.json     |              0.8404 |
| sim_0442.zw   | sim_0442.json     |              0.8673 |
| sim_0914.zw   | sim_0914.json     |              0.8022 |
| sim_0871.zw   | sim_0871.json     |              0.8386 |
| sim_0285.zw   | sim_0285.json     |              0.841  |
| sim_0838.zw   | sim_0838.json     |              0.7571 |
| sim_0541.zw   | sim_0541.json     |              0.783  |
| sim_0360.zw   | sim_0360.json     |              0.8556 |
| sim_0279.zw   | sim_0279.json     |              0.7949 |
| sim_0637.zw   | sim_0637.json     |              0.8291 |
| sim_0653.zw   | sim_0653.json     |              0.833  |
| sim_0214.zw   | sim_0214.json     |              0.8607 |
| sim_0448.zw   | sim_0448.json     |              0.7696 |
| sim_0048.zw   | sim_0048.json     |              0.7726 |
| sim_0562.zw   | sim_0562.json     |              0.7769 |
| sim_0797.zw   | sim_0797.json     |              0.8077 |
| sim_0592.zw   | sim_0592.json     |              0.8672 |
| sim_0953.zw   | sim_0953.json     |              0.8167 |
| sim_0852.zw   | sim_0852.json     |              0.8235 |
| sim_0342.zw   | sim_0342.json     |              0.8717 |
| sim_0684.zw   | sim_0684.json     |              0.8114 |
| sim_0560.zw   | sim_0560.json     |              0.7923 |
| sim_0198.zw   | sim_0198.json     |              0.84   |
| sim_0981.zw   | sim_0981.json     |              0.7474 |
| sim_0211.zw   | sim_0211.json     |              0.8497 |
| sim_0161.zw   | sim_0161.json     |              0.8567 |
| sim_0762.zw   | sim_0762.json     |              0.8052 |
| sim_0568.zw   | sim_0568.json     |              0.8222 |
| sim_0957.zw   | sim_0957.json     |              0.8858 |
| sim_0641.zw   | sim_0641.json     |              0.7694 |
| sim_0300.zw   | sim_0300.json     |              0.8457 |
| sim_0128.zw   | sim_0128.json     |              0.8255 |
| sim_0783.zw   | sim_0783.json     |              0.8621 |
| sim_0346.zw   | sim_0346.json     |              0.7817 |
| sim_0732.zw   | sim_0732.json     |              0.8255 |
| sim_0841.zw   | sim_0841.json     |              0.8775 |
| sim_0094.zw   | sim_0094.json     |              0.8238 |
| sim_0623.zw   | sim_0623.json     |              0.8721 |
| sim_0905.zw   | sim_0905.json     |              0.8721 |
| sim_0884.zw   | sim_0884.json     |              0.8817 |
| sim_0155.zw   | sim_0155.json     |              0.8586 |
| sim_0935.zw   | sim_0935.json     |              0.8494 |
| sim_0055.zw   | sim_0055.json     |              0.7566 |
| sim_0726.zw   | sim_0726.json     |              0.7383 |
| sim_0371.zw   | sim_0371.json     |              0.8444 |
| sim_0673.zw   | sim_0673.json     |              0.7623 |
| sim_0561.zw   | sim_0561.json     |              0.8083 |
| sim_0750.zw   | sim_0750.json     |              0.8269 |
| sim_0855.zw   | sim_0855.json     |              0.8462 |
| sim_0722.zw   | sim_0722.json     |              0.8163 |
| sim_0013.zw   | sim_0013.json     |              0.812  |
| sim_0741.zw   | sim_0741.json     |              0.8582 |
| sim_0665.zw   | sim_0665.json     |              0.8195 |
| sim_0872.zw   | sim_0872.json     |              0.7491 |
| sim_0697.zw   | sim_0697.json     |              0.8198 |
| sim_0861.zw   | sim_0861.json     |              0.8237 |
| sim_0033.zw   | sim_0033.json     |              0.7619 |
| sim_0965.zw   | sim_0965.json     |              0.8198 |
| sim_0489.zw   | sim_0489.json     |              0.7701 |
| sim_0151.zw   | sim_0151.json     |              0.7989 |
| sim_0148.zw   | sim_0148.json     |              0.8379 |
| sim_0532.zw   | sim_0532.json     |              0.8292 |
| sim_0717.zw   | sim_0717.json     |              0.7855 |
| sim_0479.zw   | sim_0479.json     |              0.8115 |
| sim_0786.zw   | sim_0786.json     |              0.819  |
| sim_0233.zw   | sim_0233.json     |              0.8647 |
| sim_0203.zw   | sim_0203.json     |              0.7578 |
| sim_0185.zw   | sim_0185.json     |              0.862  |
| sim_0407.zw   | sim_0407.json     |              0.8386 |
| sim_0867.zw   | sim_0867.json     |              0.7618 |
| sim_0863.zw   | sim_0863.json     |              0.8435 |
