
Token Cruncher Benchmark Results:

| ZhiWen File   | Equivalent File   |   ZhiWen Tokens |   Equivalent Tokens | Reduction   |
|---------------|-------------------|-----------------|---------------------|-------------|
| sim_0669.zw   | sim_0669.json     |             262 |                 224 | -16.96%     |
| sim_0613.zw   | sim_0613.json     |             297 |                 255 | -16.47%     |
| sim_0602.zw   | sim_0602.json     |             260 |                 217 | -19.82%     |
| sim_0273.zw   | sim_0273.json     |             256 |                 224 | -14.29%     |
| sim_0330.zw   | sim_0330.json     |             262 |                 234 | -11.97%     |
| sim_0733.zw   | sim_0733.json     |             290 |                 248 | -16.94%     |
| sim_0145.zw   | sim_0145.json     |             288 |                 253 | -13.83%     |
| sim_0659.zw   | sim_0659.json     |             263 |                 216 | -21.76%     |
| sim_0766.zw   | sim_0766.json     |             237 |                 213 | -11.27%     |
| sim_0531.zw   | sim_0531.json     |             254 |                 213 | -19.25%     |
| sim_0811.zw   | sim_0811.json     |             240 |                 215 | -11.63%     |
| sim_0747.zw   | sim_0747.json     |             252 |                 222 | -13.51%     |
| sim_0825.zw   | sim_0825.json     |             264 |                 237 | -11.39%     |
| sim_0901.zw   | sim_0901.json     |             244 |                 222 | -9.91%      |
| sim_0162.zw   | sim_0162.json     |             265 |                 226 | -17.26%     |
| sim_0244.zw   | sim_0244.json     |             271 |                 241 | -12.45%     |
| sim_0180.zw   | sim_0180.json     |             266 |                 231 | -15.15%     |
| sim_0537.zw   | sim_0537.json     |             275 |                 237 | -16.03%     |
| sim_0983.zw   | sim_0983.json     |             285 |                 241 | -18.26%     |
| sim_0025.zw   | sim_0025.json     |             254 |                 233 | -9.01%      |
| sim_0066.zw   | sim_0066.json     |             292 |                 238 | -22.69%     |
| sim_0395.zw   | sim_0395.json     |             273 |                 236 | -15.68%     |
| sim_0389.zw   | sim_0389.json     |             277 |                 252 | -9.92%      |
| sim_0594.zw   | sim_0594.json     |             247 |                 211 | -17.06%     |
| sim_0586.zw   | sim_0586.json     |             289 |                 241 | -19.92%     |
| sim_0398.zw   | sim_0398.json     |             247 |                 216 | -14.35%     |
| sim_0839.zw   | sim_0839.json     |             255 |                 234 | -8.97%      |
| sim_0194.zw   | sim_0194.json     |             234 |                 205 | -14.15%     |
| sim_0258.zw   | sim_0258.json     |             270 |                 230 | -17.39%     |
| sim_0933.zw   | sim_0933.json     |             261 |                 241 | -8.30%      |
| sim_0776.zw   | sim_0776.json     |             280 |                 231 | -21.21%     |
| sim_0557.zw   | sim_0557.json     |             254 |                 234 | -8.55%      |
