
Token Cruncher Benchmark Results:

| ZhiWen File     | Equivalent File   |   ZhiWen Tokens |   Equivalent Tokens | Reduction   |
|-----------------|-------------------|-----------------|---------------------|-------------|
| massive_0030.zw | massive_0030.json |            6969 |                7499 | 7.07%       |
| massive_0039.zw | massive_0039.json |            6999 |                7529 | 7.04%       |
| massive_0050.zw | massive_0050.json |            7040 |                7570 | 7.00%       |
| massive_0055.zw | massive_0055.json |            7017 |                7550 | 7.06%       |
| massive_0085.zw | massive_0085.json |            7038 |                7570 | 7.03%       |
| massive_0090.zw | massive_0090.json |            7012 |                7542 | 7.03%       |
| massive_0054.zw | massive_0054.json |            7003 |                7533 | 7.04%       |
| massive_0000.zw | massive_0000.json |            6981 |                7511 | 7.06%       |
| massive_0034.zw | massive_0034.json |            6974 |                7505 | 7.08%       |
| massive_0028.zw | massive_0028.json |            7003 |                7535 | 7.06%       |
| massive_0079.zw | massive_0079.json |            6992 |                7524 | 7.07%       |
| massive_0023.zw | massive_0023.json |            6983 |                7513 | 7.05%       |
| massive_0036.zw | massive_0036.json |            7019 |                7550 | 7.03%       |
| massive_0001.zw | massive_0001.json |            7060 |                7593 | 7.02%       |
| massive_0051.zw | massive_0051.json |            6998 |                7528 | 7.04%       |
| massive_0072.zw | massive_0072.json |            7004 |                7535 | 7.05%       |
| massive_0052.zw | massive_0052.json |            7002 |                7533 | 7.05%       |
| massive_0017.zw | massive_0017.json |            7029 |                7559 | 7.01%       |
| massive_0012.zw | massive_0012.json |            7014 |                7546 | 7.05%       |
| massive_0004.zw | massive_0004.json |            7018 |                7549 | 7.03%       |
| massive_0074.zw | massive_0074.json |            7052 |                7583 | 7.00%       |
| massive_0067.zw | massive_0067.json |            6999 |                7531 | 7.06%       |
| massive_0024.zw | massive_0024.json |            6990 |                7522 | 7.07%       |
| massive_0084.zw | massive_0084.json |            7037 |                7568 | 7.02%       |
| massive_0081.zw | massive_0081.json |            6997 |                7530 | 7.08%       |
| massive_0047.zw | massive_0047.json |            7007 |                7539 | 7.06%       |
| massive_0027.zw | massive_0027.json |            6995 |                7525 | 7.04%       |
| massive_0060.zw | massive_0060.json |            7036 |                7568 | 7.03%       |
| massive_0016.zw | massive_0016.json |            6974 |                7505 | 7.08%       |
| massive_0018.zw | massive_0018.json |            7018 |                7548 | 7.02%       |
| massive_0014.zw | massive_0014.json |            7054 |                7586 | 7.01%       |
| massive_0059.zw | massive_0059.json |            6966 |                7498 | 7.10%       |
| massive_0035.zw | massive_0035.json |            7037 |                7567 | 7.00%       |
| massive_0092.zw | massive_0092.json |            7016 |                7546 | 7.02%       |
| massive_0097.zw | massive_0097.json |            7022 |                7552 | 7.02%       |
| massive_0053.zw | massive_0053.json |            7017 |                7548 | 7.03%       |
| massive_0086.zw | massive_0086.json |            7059 |                7590 | 7.00%       |
| massive_0078.zw | massive_0078.json |            6952 |                7483 | 7.10%       |
| massive_0061.zw | massive_0061.json |            7027 |                7557 | 7.01%       |
| massive_0021.zw | massive_0021.json |            7006 |                7539 | 7.07%       |
| massive_0007.zw | massive_0007.json |            7006 |                7538 | 7.06%       |
| massive_0009.zw | massive_0009.json |            7051 |                7581 | 6.99%       |
| massive_0046.zw | massive_0046.json |            6987 |                7518 | 7.06%       |
| massive_0070.zw | massive_0070.json |            6976 |                7505 | 7.05%       |
| massive_0071.zw | massive_0071.json |            7038 |                7570 | 7.03%       |
| massive_0032.zw | massive_0032.json |            7053 |                7584 | 7.00%       |
| massive_0041.zw | massive_0041.json |            7026 |                7558 | 7.04%       |
| massive_0066.zw | massive_0066.json |            7008 |                7539 | 7.04%       |
| massive_0038.zw | massive_0038.json |            6963 |                7492 | 7.06%       |
| massive_0065.zw | massive_0065.json |            7026 |                7558 | 7.04%       |
| massive_0008.zw | massive_0008.json |            7025 |                7555 | 7.02%       |
| massive_0043.zw | massive_0043.json |            7043 |                7575 | 7.02%       |
| massive_0082.zw | massive_0082.json |            7002 |                7533 | 7.05%       |
| massive_0026.zw | massive_0026.json |            6981 |                7510 | 7.04%       |
| massive_0045.zw | massive_0045.json |            7020 |                7552 | 7.04%       |
| massive_0062.zw | massive_0062.json |            7009 |                7541 | 7.05%       |
| massive_0022.zw | massive_0022.json |            7018 |                7550 | 7.05%       |
| massive_0029.zw | massive_0029.json |            7004 |                7532 | 7.01%       |
| massive_0044.zw | massive_0044.json |            7002 |                7533 | 7.05%       |
| massive_0094.zw | massive_0094.json |            6974 |                7507 | 7.10%       |
| massive_0049.zw | massive_0049.json |            7003 |                7535 | 7.06%       |
| massive_0091.zw | massive_0091.json |            7006 |                7535 | 7.02%       |
| massive_0068.zw | massive_0068.json |            7031 |                7560 | 7.00%       |
| massive_0076.zw | massive_0076.json |            7027 |                7557 | 7.01%       |
| massive_0096.zw | massive_0096.json |            6990 |                7520 | 7.05%       |
| massive_0098.zw | massive_0098.json |            6992 |                7523 | 7.06%       |
| massive_0011.zw | massive_0011.json |            7047 |                7576 | 6.98%       |
| massive_0077.zw | massive_0077.json |            7010 |                7542 | 7.05%       |
| massive_0013.zw | massive_0013.json |            7030 |                7562 | 7.04%       |
| massive_0003.zw | massive_0003.json |            6987 |                7517 | 7.05%       |
| massive_0005.zw | massive_0005.json |            7040 |                7570 | 7.00%       |
| massive_0037.zw | massive_0037.json |            7029 |                7561 | 7.04%       |
| massive_0083.zw | massive_0083.json |            7036 |                7569 | 7.04%       |
| massive_0063.zw | massive_0063.json |            6996 |                7526 | 7.04%       |
| massive_0020.zw | massive_0020.json |            6947 |                7478 | 7.10%       |
| massive_0015.zw | massive_0015.json |            6980 |                7511 | 7.07%       |
| massive_0002.zw | massive_0002.json |            7037 |                7567 | 7.00%       |
| massive_0087.zw | massive_0087.json |            6988 |                7519 | 7.06%       |
| massive_0048.zw | massive_0048.json |            6981 |                7513 | 7.08%       |
| massive_0042.zw | massive_0042.json |            7051 |                7580 | 6.98%       |
| massive_0057.zw | massive_0057.json |            7029 |                7560 | 7.02%       |
| massive_0033.zw | massive_0033.json |            6998 |                7531 | 7.08%       |
| massive_0058.zw | massive_0058.json |            7004 |                7536 | 7.06%       |
| massive_0019.zw | massive_0019.json |            7000 |                7530 | 7.04%       |
| massive_0089.zw | massive_0089.json |            7029 |                7561 | 7.04%       |
| massive_0069.zw | massive_0069.json |            6965 |                7496 | 7.08%       |
| massive_0093.zw | massive_0093.json |            6981 |                7511 | 7.06%       |
| massive_0025.zw | massive_0025.json |            7016 |                7547 | 7.04%       |
| massive_0056.zw | massive_0056.json |            6984 |                7514 | 7.05%       |
| massive_0073.zw | massive_0073.json |            7027 |                7559 | 7.04%       |
| massive_0040.zw | massive_0040.json |            7023 |                7555 | 7.04%       |
| massive_0031.zw | massive_0031.json |            7022 |                7552 | 7.02%       |
| massive_0006.zw | massive_0006.json |            7002 |                7533 | 7.05%       |
| massive_0099.zw | massive_0099.json |            6988 |                7520 | 7.07%       |
| massive_0080.zw | massive_0080.json |            7044 |                7574 | 7.00%       |
| massive_0064.zw | massive_0064.json |            7017 |                7546 | 7.01%       |
| massive_0075.zw | massive_0075.json |            7026 |                7558 | 7.04%       |
| massive_0095.zw | massive_0095.json |            7006 |                7538 | 7.06%       |
| massive_0088.zw | massive_0088.json |            7007 |                7538 | 7.04%       |
| massive_0010.zw | massive_0010.json |            6985 |                7516 | 7.06%       |

Overall Tokens (ZhiWen): 700989
Overall Tokens (Equivalent): 754086
Overall Reduction: 7.04%
