
Token Cruncher Benchmark Results:

| ZhiWen File     | Equivalent File   |   ZhiWen Tokens |   Equivalent Tokens | Reduction   |
|-----------------|-------------------|-----------------|---------------------|-------------|
| massive_0030.zw | massive_0030.json |            7000 |                5355 | -30.72%     |
| massive_0039.zw | massive_0039.json |            7016 |                5331 | -31.61%     |
| massive_0050.zw | massive_0050.json |            7016 |                5336 | -31.48%     |
| massive_0055.zw | massive_0055.json |            7009 |                5339 | -31.28%     |
| massive_0085.zw | massive_0085.json |            7000 |                5338 | -31.14%     |
| massive_0090.zw | massive_0090.json |            7023 |                5343 | -31.44%     |
| massive_0054.zw | massive_0054.json |            7014 |                5340 | -31.35%     |
| massive_0000.zw | massive_0000.json |            7000 |                5330 | -31.33%     |
| massive_0034.zw | massive_0034.json |            7003 |                5341 | -31.12%     |
| massive_0028.zw | massive_0028.json |            7007 |                5336 | -31.32%     |
| massive_0079.zw | massive_0079.json |            7007 |                5337 | -31.29%     |
| massive_0023.zw | massive_0023.json |            6978 |                5338 | -30.72%     |
| massive_0036.zw | massive_0036.json |            7011 |                5335 | -31.42%     |
| massive_0001.zw | massive_0001.json |            6998 |                5345 | -30.93%     |
| massive_0051.zw | massive_0051.json |            7002 |                5352 | -30.83%     |
| massive_0072.zw | massive_0072.json |            7054 |                5340 | -32.10%     |
| massive_0052.zw | massive_0052.json |            7018 |                5339 | -31.45%     |
| massive_0017.zw | massive_0017.json |            6989 |                5349 | -30.66%     |
| massive_0012.zw | massive_0012.json |            7028 |                5336 | -31.71%     |
| massive_0004.zw | massive_0004.json |            7023 |                5321 | -31.99%     |
| massive_0074.zw | massive_0074.json |            7026 |                5343 | -31.50%     |
| massive_0067.zw | massive_0067.json |            7030 |                5327 | -31.97%     |
| massive_0024.zw | massive_0024.json |            7012 |                5357 | -30.89%     |
| massive_0084.zw | massive_0084.json |            7026 |                5339 | -31.60%     |
| massive_0081.zw | massive_0081.json |            7006 |                5333 | -31.37%     |
| massive_0047.zw | massive_0047.json |            6974 |                5342 | -30.55%     |
| massive_0027.zw | massive_0027.json |            7042 |                5340 | -31.87%     |
| massive_0060.zw | massive_0060.json |            7051 |                5345 | -31.92%     |
| massive_0016.zw | massive_0016.json |            6972 |                5330 | -30.81%     |
| massive_0018.zw | massive_0018.json |            6974 |                5345 | -30.48%     |
| massive_0014.zw | massive_0014.json |            7004 |                5336 | -31.26%     |
| massive_0059.zw | massive_0059.json |            7057 |                5353 | -31.83%     |
| massive_0035.zw | massive_0035.json |            7006 |                5355 | -30.83%     |
| massive_0092.zw | massive_0092.json |            7021 |                5338 | -31.53%     |
| massive_0097.zw | massive_0097.json |            7005 |                5344 | -31.08%     |
| massive_0053.zw | massive_0053.json |            7013 |                5340 | -31.33%     |
| massive_0086.zw | massive_0086.json |            7028 |                5354 | -31.27%     |
| massive_0078.zw | massive_0078.json |            7015 |                5350 | -31.12%     |
| massive_0061.zw | massive_0061.json |            6970 |                5327 | -30.84%     |
| massive_0021.zw | massive_0021.json |            7022 |                5339 | -31.52%     |
| massive_0007.zw | massive_0007.json |            7026 |                5342 | -31.52%     |
| massive_0009.zw | massive_0009.json |            7034 |                5312 | -32.42%     |
| massive_0046.zw | massive_0046.json |            7027 |                5309 | -32.36%     |
| massive_0070.zw | massive_0070.json |            6996 |                5325 | -31.38%     |
| massive_0071.zw | massive_0071.json |            7008 |                5336 | -31.33%     |
| massive_0032.zw | massive_0032.json |            6998 |                5319 | -31.57%     |
| massive_0041.zw | massive_0041.json |            6971 |                5337 | -30.62%     |
| massive_0066.zw | massive_0066.json |            7009 |                5337 | -31.33%     |
| massive_0038.zw | massive_0038.json |            7024 |                5340 | -31.54%     |
| massive_0065.zw | massive_0065.json |            7051 |                5323 | -32.46%     |
| massive_0008.zw | massive_0008.json |            7009 |                5337 | -31.33%     |
| massive_0043.zw | massive_0043.json |            7026 |                5344 | -31.47%     |
| massive_0082.zw | massive_0082.json |            7031 |                5348 | -31.47%     |
| massive_0026.zw | massive_0026.json |            6963 |                5342 | -30.34%     |
| massive_0045.zw | massive_0045.json |            7047 |                5347 | -31.79%     |
| massive_0062.zw | massive_0062.json |            7046 |                5344 | -31.85%     |
| massive_0022.zw | massive_0022.json |            7001 |                5328 | -31.40%     |
| massive_0029.zw | massive_0029.json |            6969 |                5355 | -30.14%     |
| massive_0044.zw | massive_0044.json |            6974 |                5330 | -30.84%     |
| massive_0094.zw | massive_0094.json |            7029 |                5351 | -31.36%     |
| massive_0049.zw | massive_0049.json |            7001 |                5352 | -30.81%     |
| massive_0091.zw | massive_0091.json |            7021 |                5343 | -31.41%     |
| massive_0068.zw | massive_0068.json |            7019 |                5338 | -31.49%     |
| massive_0076.zw | massive_0076.json |            6988 |                5337 | -30.93%     |
| massive_0096.zw | massive_0096.json |            6976 |                5342 | -30.59%     |
| massive_0098.zw | massive_0098.json |            6971 |                5334 | -30.69%     |
| massive_0011.zw | massive_0011.json |            7018 |                5325 | -31.79%     |
| massive_0077.zw | massive_0077.json |            7040 |                5328 | -32.13%     |
| massive_0013.zw | massive_0013.json |            6988 |                5344 | -30.76%     |
| massive_0003.zw | massive_0003.json |            6984 |                5354 | -30.44%     |
| massive_0005.zw | massive_0005.json |            6960 |                5342 | -30.29%     |
| massive_0037.zw | massive_0037.json |            7022 |                5354 | -31.15%     |
| massive_0083.zw | massive_0083.json |            7025 |                5332 | -31.75%     |
| massive_0063.zw | massive_0063.json |            7014 |                5366 | -30.71%     |
| massive_0020.zw | massive_0020.json |            7002 |                5333 | -31.30%     |
| massive_0015.zw | massive_0015.json |            7017 |                5345 | -31.28%     |
| massive_0002.zw | massive_0002.json |            7008 |                5325 | -31.61%     |
| massive_0087.zw | massive_0087.json |            6979 |                5351 | -30.42%     |
| massive_0048.zw | massive_0048.json |            6983 |                5355 | -30.40%     |
| massive_0042.zw | massive_0042.json |            7016 |                5337 | -31.46%     |
| massive_0057.zw | massive_0057.json |            7027 |                5339 | -31.62%     |
| massive_0033.zw | massive_0033.json |            7014 |                5329 | -31.62%     |
| massive_0058.zw | massive_0058.json |            7010 |                5347 | -31.10%     |
| massive_0019.zw | massive_0019.json |            6996 |                5337 | -31.08%     |
| massive_0089.zw | massive_0089.json |            7000 |                5346 | -30.94%     |
| massive_0069.zw | massive_0069.json |            7019 |                5340 | -31.44%     |
| massive_0093.zw | massive_0093.json |            7023 |                5343 | -31.44%     |
| massive_0025.zw | massive_0025.json |            6980 |                5334 | -30.86%     |
| massive_0056.zw | massive_0056.json |            7046 |                5342 | -31.90%     |
| massive_0073.zw | massive_0073.json |            7022 |                5349 | -31.28%     |
| massive_0040.zw | massive_0040.json |            7014 |                5344 | -31.25%     |
| massive_0031.zw | massive_0031.json |            7028 |                5361 | -31.09%     |
| massive_0006.zw | massive_0006.json |            7042 |                5340 | -31.87%     |
| massive_0099.zw | massive_0099.json |            6986 |                5349 | -30.60%     |
| massive_0080.zw | massive_0080.json |            7015 |                5338 | -31.42%     |
| massive_0064.zw | massive_0064.json |            7029 |                5340 | -31.63%     |
| massive_0075.zw | massive_0075.json |            7061 |                5335 | -32.35%     |
| massive_0095.zw | massive_0095.json |            6999 |                5344 | -30.97%     |
| massive_0088.zw | massive_0088.json |            7047 |                5347 | -31.79%     |
| massive_0010.zw | massive_0010.json |            6984 |                5354 | -30.44%     |

Overall Tokens (ZhiWen): 701063
Overall Tokens (Equivalent): 534019
Overall Reduction: -31.28%
